	host_response_rate	host_listings_count	host_verificationCount	host_since_deltaDays	calculated_host_listings_count	latitude	longitude	accommodates	bathrooms	bedrooms	beds	price	weekly_price	security_deposit	cleaning_fee	guests_included	extra_people	minimum_nights	maximum_nights	number_of_reviews	last_review_deltaDays	first_review_deltaDays	review_scores_rating	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	reviews_per_month	performance
2974	4.6151204	1.609438	6	1561.0	1.3862944	47.68344	-122.37759	1.609438	0.6931472	0.6931472	1.609438	4.6634393	6.4785094	6.216606	4.3307333	1.3862944	2.7725887	1.0986123	7.026427	1.609438	4.1588830833596715	4.584967478670572	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.7975072	4.8121843
2975	4.6151204	1.3862944	4	101.0	0.6931472	47.679787	-122.3872	1.9459102	0.6931472	1.0986123	1.3862944	4.59512	6.4785094	5.3033047	4.3307333	0.6931472	0.0	0.6931472	7.026427	1.0986123	3.367295829986474	3.5553480614894135	4.5108595	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.99694866	5.04278
2976	4.6151204	0.6931472	6	1100.0	0.6931472	47.684387	-122.38732	1.0986123	0.6931472	0.6931472	0.6931472	4.6051702	6.3279366	5.3033047	3.9318256	1.0986123	3.2580965	1.0986123	7.026427	1.3862944	1.0986122886681096	5.209486152841421	4.6151204	2.3978953	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	0.3987761	3.912023
2977	4.6151204	1.0986123	5	1006.0	1.0986123	47.676346	-122.39015	1.0986123	0.6931472	0.6931472	0.6931472	3.912023	6.4785094	5.0172796	3.9318256	0.6931472	0.0	0.6931472	7.026427	2.944439	2.8903717578961645	4.718498871295094	4.5325994	2.3978953	2.3025851	2.3978953	2.3025851	2.3978953	2.3978953	1.7613003	6.096815
2978	4.3307333	1.609438	6	2513.0	0.6931472	47.678246	-122.39146	1.3862944	0.6931472	0.6931472	0.6931472	4.5108595	6.3117347	5.3033047	3.2580965	1.0986123	3.0445225	0.6931472	7.026427	1.9459102	0.6931471805599453	5.204006687076795	4.543295	2.3978953	2.3025851	2.3978953	2.3978953	2.3025851	2.3978953	0.6881347	4.533352
2979	4.6151204	1.0986123	4	1035.0	1.0986123	47.681927	-122.38997	1.0986123	0.6931472	0.6931472	0.6931472	4.0253515	6.4785094	5.0172796	3.9318256	0.6931472	2.0794415	0.6931472	2.7080503	5.1298985	1.3862943611198906	6.930494765951626	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3025851	1.7800242	6.1513486
2980	4.6151204	0.6931472	5	817.0	0.6931472	47.682747	-122.38947	1.609438	0.6931472	0.6931472	0.6931472	4.454347	6.4785094	5.3033047	3.9318256	1.0986123	2.3978953	0.6931472	7.026427	4.4188404	1.791759469228055	6.5998704992128365	4.553877	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	1.4701759	5.7554255
2984	4.6151204	0.6931472	5	1112.0	0.6931472	47.679188	-122.3894	1.0986123	0.91629076	0.6931472	0.6931472	4.248495	6.4785094	5.3033047	3.9318256	1.0986123	3.0445225	1.609438	7.026427	2.3978953	4.787491742782046	5.641907070938114	4.6151204	2.3978953	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	0.72270596	4.6728287
2985	4.6151204	0.6931472	4	690.0	0.6931472	47.682632	-122.380035	1.0986123	0.6931472	0.6931472	0.6931472	4.3307333	5.8607864	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	0.6931472	4.532599493153256	4.532599493153256	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.27763173	3.4965076
2987	4.394449	1.0986123	4	327.0	0.6931472	47.685894	-122.37838	1.0986123	0.6931472	0.6931472	0.6931472	4.0253515	6.4785094	4.6151204	3.2580965	0.6931472	0.0	0.6931472	7.026427	2.3978953	3.6109179126442243	4.844187086458591	4.574711	2.3978953	2.3978953	2.3978953	2.3025851	2.3025851	2.3978953	1.211941	5.427414
2988	4.6151204	1.0986123	5	1743.0	1.0986123	47.68231	-122.378746	1.3862944	0.6931472	0.6931472	0.6931472	4.5108595	6.3421216	5.0172796	3.9318256	1.0986123	2.7725887	0.6931472	5.902633	4.75359	4.382026634673881	7.16703787691222	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2974632	5.5361524
2989	4.6151204	0.6931472	6	175.0	0.6931472	47.683308	-122.378426	1.0986123	0.6931472	0.6931472	0.6931472	3.912023	6.4785094	5.3033047	3.4339871	0.6931472	0.0	1.0986123	7.026427	1.609438	1.791759469228055	3.784189633918261	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.3164083	5.562027
